tracking_number,ship_date,????,????id,???,???,???
{61290989800520557788},4/29/2020,5/25/2020 7:44,1630,6.28,6.28,6.92
{61290989800520524537},4/26/2020,5/25/2020 7:57,1630,6.55,6.55,6.54
{61290989800520683791},5/11/2020,5/29/2020 5:46,1649,5.7,5.7,5.7
{61290989800520742443},5/15/2020,6/28/2020 3:58,1714,7.18,7.18,7.18
{61290989800520740203},5/15/2020,5/29/2020 6:10,1649,5.7,5.7,5.7
{61290989800520932509},5/21/2020,6/5/2020 2:06,1663,6.88,6.88,6.87
{392034163450},4/20/2020,5/8/2020 0:59,1577,12.75,12.75,13.36
{61290989800521092837},6/9/2020,6/28/2020 2:22,1711,7.36,7.36,8.33
{61290989800521078985},6/8/2020,6/28/2020 2:26,1711,6.19,6.19,6.19
{61290989800521077889},6/8/2020,6/28/2020 2:22,1711,7.36,7.36,8.33
{61290989800520619271},5/4/2020,5/25/2020 7:58,1631,5.37,5.37,5.37
{61290989800520644501},5/6/2020,5/25/2020 7:43,1631,6.73,6.73,5.7
{61290989800520527880},4/27/2020,5/25/2020 7:47,1630,5.42,5.42,5.4
{61290989800520604680},5/4/2020,5/25/2020 7:42,1630,5.57,5.57,5.57
{61290989800521023220},5/30/2020,6/12/2020 4:40,1688,5.7,5.7,5.75
{61290989800520655781},5/7/2020,5/25/2020 7:51,1631,5.61,5.61,5.61
{61290989800520601672},5/4/2020,5/25/2020 7:53,1630,5.7,5.7,5.7
{61290989800521093209},6/9/2020,6/28/2020 2:27,1711,7.33,7.33,7.33
{61290989800520557924},4/29/2020,5/25/2020 7:28,1630,6.28,6.28,6.92
{61290989800520740555},5/15/2020,5/29/2020 6:10,1649,7.18,7.18,7.18
{61290989800520644235},5/6/2020,5/25/2020 7:54,1631,5.7,5.7,5.7
{61290989800520523042},4/26/2020,5/25/2020 7:35,1630,5.72,5.72,5.72
{61290989800520696197},5/11/2020,5/29/2020 5:51,1649,5.61,5.61,5.61
{61290989800520922814},5/20/2020,6/19/2020 2:38,1698,5.37,5.37,5.37
{61290989800521268409},6/16/2020,7/3/2020 2:52,1764,6.46,6.46,6.47
{61290989800520643474},5/6/2020,5/29/2020 5:32,1649,7.18,7.18,7.18
{61290989800520701242},5/12/2020,5/29/2020 5:54,1649,6.73,6.73,5.7
{61290989800520529600},4/27/2020,5/8/2020 0:53,1577,5.72,5.72,5.72
{61290989800520532266},4/27/2020,5/25/2020 7:56,1630,8.34,8.34,8.34
{61290989800521109023},6/11/2020,6/28/2020 2:44,1711,5.89,5.89,5.88
